Instance;Probleme;Algorithme;Score;Temps_ms;Statut
brock/brock200_1.clq;MCP;ILS_k1;18;10000;OK
brock/brock200_1.clq;MCP;ILS_k2;18;10000;OK
brock/brock200_1.clq;MCP;ILS_k3;19;10000;OK
brock/brock200_1.clq;MCP;ILS_k4;19;10000;OK
brock/brock200_1.clq;MCP;VNS_kmax5;19;10000;OK
brock/brock200_1.clq;WMCP;ILS_k1;2610;10000;OK
brock/brock200_1.clq;WMCP;ILS_k2;2610;10000;OK
brock/brock200_1.clq;WMCP;ILS_k3;2610;10000;OK
brock/brock200_1.clq;WMCP;ILS_k4;2667;10000;OK
brock/brock200_1.clq;WMCP;VNS_kmax5;2802;10000;OK
brock/brock200_2.clq;MCP;ILS_k1;8;10000;OK
brock/brock200_2.clq;MCP;ILS_k2;9;10000;OK
brock/brock200_2.clq;MCP;ILS_k3;9;10000;OK
brock/brock200_2.clq;MCP;ILS_k4;10;10000;OK
brock/brock200_2.clq;MCP;VNS_kmax5;10;10000;OK
brock/brock200_2.clq;WMCP;ILS_k1;805;10000;OK
brock/brock200_2.clq;WMCP;ILS_k2;1262;10000;OK
brock/brock200_2.clq;WMCP;ILS_k3;1492;10000;OK
brock/brock200_2.clq;WMCP;ILS_k4;1492;10000;OK
brock/brock200_2.clq;WMCP;VNS_kmax5;1492;10000;OK
brock/brock200_3.clq;MCP;ILS_k1;12;10000;OK
brock/brock200_3.clq;MCP;ILS_k2;12;10000;OK
brock/brock200_3.clq;MCP;ILS_k3;13;10000;OK
brock/brock200_3.clq;MCP;ILS_k4;13;10000;OK
brock/brock200_3.clq;MCP;VNS_kmax5;13;10000;OK
brock/brock200_3.clq;WMCP;ILS_k1;1107;10000;OK
brock/brock200_3.clq;WMCP;ILS_k2;1967;10000;OK
brock/brock200_3.clq;WMCP;ILS_k3;1733;10000;OK
brock/brock200_3.clq;WMCP;ILS_k4;1967;10000;OK
brock/brock200_3.clq;WMCP;VNS_kmax5;2049;10000;OK
brock/brock200_4.clq;MCP;ILS_k1;14;10000;OK
brock/brock200_4.clq;MCP;ILS_k2;16;10000;OK
brock/brock200_4.clq;MCP;ILS_k3;16;10000;OK
brock/brock200_4.clq;MCP;ILS_k4;16;10000;OK
brock/brock200_4.clq;MCP;VNS_kmax5;16;10000;OK
brock/brock200_4.clq;WMCP;ILS_k1;1430;10000;OK
brock/brock200_4.clq;WMCP;ILS_k2;2094;10000;OK
brock/brock200_4.clq;WMCP;ILS_k3;2094;10000;OK
brock/brock200_4.clq;WMCP;ILS_k4;2083;10000;OK
brock/brock200_4.clq;WMCP;VNS_kmax5;2083;10000;OK
brock/brock400_1.clq;MCP;ILS_k1;20;10000;OK
brock/brock400_1.clq;MCP;ILS_k2;22;10000;OK
brock/brock400_1.clq;MCP;ILS_k3;21;10000;OK
brock/brock400_1.clq;MCP;ILS_k4;23;10000;OK
brock/brock400_1.clq;MCP;VNS_kmax5;24;10000;OK
brock/brock400_1.clq;WMCP;ILS_k1;1833;10000;OK
brock/brock400_1.clq;WMCP;ILS_k2;3260;10000;OK
brock/brock400_1.clq;WMCP;ILS_k3;3334;10000;OK
brock/brock400_1.clq;WMCP;ILS_k4;3151;10000;OK
brock/brock400_1.clq;WMCP;VNS_kmax5;3037;10000;OK
brock/brock400_2.clq;MCP;ILS_k1;21;10000;OK
brock/brock400_2.clq;MCP;ILS_k2;21;10000;OK
brock/brock400_2.clq;MCP;ILS_k3;22;10000;OK
brock/brock400_2.clq;MCP;ILS_k4;23;10000;OK
brock/brock400_2.clq;MCP;VNS_kmax5;22;10000;OK
brock/brock400_2.clq;WMCP;ILS_k1;3004;10000;OK
brock/brock400_2.clq;WMCP;ILS_k2;3004;10000;OK
brock/brock400_2.clq;WMCP;ILS_k3;3004;10000;OK
brock/brock400_2.clq;WMCP;ILS_k4;3034;10000;OK
brock/brock400_2.clq;WMCP;VNS_kmax5;3034;10000;OK
brock/brock400_3.clq;MCP;ILS_k1;18;10000;OK
brock/brock400_3.clq;MCP;ILS_k2;19;10000;OK
brock/brock400_3.clq;MCP;ILS_k3;21;10000;OK
brock/brock400_3.clq;MCP;ILS_k4;22;10000;OK
brock/brock400_3.clq;MCP;VNS_kmax5;23;10000;OK
brock/brock400_3.clq;WMCP;ILS_k1;2420;10000;OK
brock/brock400_3.clq;WMCP;ILS_k2;3284;10000;OK
brock/brock400_3.clq;WMCP;ILS_k3;3181;10000;OK
brock/brock400_3.clq;WMCP;ILS_k4;3272;10000;OK
brock/brock400_3.clq;WMCP;VNS_kmax5;3291;10000;OK
brock/brock400_4.clq;MCP;ILS_k1;20;10000;OK
brock/brock400_4.clq;MCP;ILS_k2;20;10000;OK
brock/brock400_4.clq;MCP;ILS_k3;22;10000;OK
brock/brock400_4.clq;MCP;ILS_k4;22;10000;OK
brock/brock400_4.clq;MCP;VNS_kmax5;23;10000;OK
brock/brock400_4.clq;WMCP;ILS_k1;2986;10000;OK
brock/brock400_4.clq;WMCP;ILS_k2;3059;10000;OK
brock/brock400_4.clq;WMCP;ILS_k3;3020;10000;OK
brock/brock400_4.clq;WMCP;ILS_k4;3020;10000;OK
brock/brock400_4.clq;WMCP;VNS_kmax5;3020;10000;OK
brock/brock800_1.clq;MCP;ILS_k1;17;10000;OK
brock/brock800_1.clq;MCP;ILS_k2;18;10000;OK
brock/brock800_1.clq;MCP;ILS_k3;20;10000;OK
brock/brock800_1.clq;MCP;ILS_k4;20;10000;OK
brock/brock800_1.clq;MCP;VNS_kmax5;20;10000;OK
brock/brock800_1.clq;WMCP;ILS_k1;1930;10000;OK
brock/brock800_1.clq;WMCP;ILS_k2;2780;10000;OK
brock/brock800_1.clq;WMCP;ILS_k3;2646;10000;OK
