Instance;Alpha_Depart;Mode;Runs;Taille_Clique;Temps_ms
brock/brock800_1.clq;0.05;Adaptatif;10;18;44104.5
brock/brock800_1.clq;0.1;Fixe;1;15;1792.76
brock/brock800_1.clq;0.1;Adaptatif;1;17;6091.61
brock/brock800_1.clq;0.1;Fixe;10;18;18057.4
brock/brock800_1.clq;0.1;Adaptatif;10;19;45490.2
brock/brock800_2.clq;0.01;Fixe;1;19;1778.03
brock/brock800_2.clq;0.01;Adaptatif;1;19;4884.87
brock/brock800_2.clq;0.01;Fixe;10;19;17874.1
brock/brock800_2.clq;0.01;Adaptatif;10;19;50139.8
brock/brock800_2.clq;0.05;Fixe;1;19;1770.96
brock/brock800_2.clq;0.05;Adaptatif;1;17;4096.58
brock/brock800_2.clq;0.05;Fixe;10;19;18849.5
brock/brock800_2.clq;0.05;Adaptatif;10;18;43267.2
brock/brock800_2.clq;0.1;Fixe;1;19;1777.88
brock/brock800_2.clq;0.1;Adaptatif;1;18;3854.9
brock/brock800_2.clq;0.1;Fixe;10;19;17885.5
brock/brock800_2.clq;0.1;Adaptatif;10;18;42995.7
brock/brock800_3.clq;0.01;Fixe;1;16;1813.69
brock/brock800_3.clq;0.01;Adaptatif;1;17;5027.8
brock/brock800_3.clq;0.01;Fixe;10;19;18436.8
brock/brock800_3.clq;0.01;Adaptatif;10;19;49479.9
brock/brock800_3.clq;0.05;Fixe;1;16;1820.16
brock/brock800_3.clq;0.05;Adaptatif;1;16;4646.32
brock/brock800_3.clq;0.05;Fixe;10;19;17846.6
brock/brock800_3.clq;0.05;Adaptatif;10;19;44385.1
brock/brock800_3.clq;0.1;Fixe;1;16;1800.4
brock/brock800_3.clq;0.1;Adaptatif;1;16;4012.55
brock/brock800_3.clq;0.1;Fixe;10;19;18423.7
brock/brock800_3.clq;0.1;Adaptatif;10;19;41666.2
brock/brock800_4.clq;0.01;Fixe;1;16;1874.56
brock/brock800_4.clq;0.01;Adaptatif;1;16;5273.22
brock/brock800_4.clq;0.01;Fixe;10;17;18757.4
brock/brock800_4.clq;0.01;Adaptatif;10;17;48750.4
brock/brock800_4.clq;0.05;Fixe;1;16;1823.79
brock/brock800_4.clq;0.05;Adaptatif;1;16;4150.63
brock/brock800_4.clq;0.05;Fixe;10;17;18199.5
brock/brock800_4.clq;0.05;Adaptatif;10;17;44403.4
brock/brock800_4.clq;0.1;Fixe;1;16;1877.3
brock/brock800_4.clq;0.1;Adaptatif;1;16;4007.62
brock/brock800_4.clq;0.1;Fixe;10;17;18429.6
brock/brock800_4.clq;0.1;Adaptatif;10;17;42569.9
C/C125.9.clq;0.01;Fixe;1;33;45.2318
C/C125.9.clq;0.01;Adaptatif;1;33;118.938
C/C125.9.clq;0.01;Fixe;10;34;451.096
C/C125.9.clq;0.01;Adaptatif;10;34;1186.77
C/C125.9.clq;0.05;Fixe;1;33;45.4227
C/C125.9.clq;0.05;Adaptatif;1;33;103.335
C/C125.9.clq;0.05;Fixe;10;34;452.139
C/C125.9.clq;0.05;Adaptatif;10;34;1060.6
C/C125.9.clq;0.1;Fixe;1;33;45.3803
C/C125.9.clq;0.1;Adaptatif;1;33;104.66
C/C125.9.clq;0.1;Fixe;10;34;452.007
C/C125.9.clq;0.1;Adaptatif;10;34;1041.28
C/C250.9.clq;0.01;Fixe;1;38;173.545
C/C250.9.clq;0.01;Adaptatif;1;39;442.907
C/C250.9.clq;0.01;Fixe;10;40;1800.04
C/C250.9.clq;0.01;Adaptatif;10;40;4480.41
C/C250.9.clq;0.05;Fixe;1;38;190.373
C/C250.9.clq;0.05;Adaptatif;1;38;398.38
C/C250.9.clq;0.05;Fixe;10;40;1758.24
C/C250.9.clq;0.05;Adaptatif;10;40;4325.16
C/C250.9.clq;0.1;Fixe;1;38;199.248
C/C250.9.clq;0.1;Adaptatif;1;38;406.481
C/C250.9.clq;0.1;Fixe;10;40;1902.7
C/C250.9.clq;0.1;Adaptatif;10;40;3758.6
C/C500.9.clq;0.01;Fixe;1;50;660.516
C/C500.9.clq;0.01;Adaptatif;1;50;1671.73
C/C500.9.clq;0.01;Fixe;10;50;6564.47
