Instance;Probleme;Algorithme;Score;Temps_ms;Statut
hamming/hamming6-2.clq;MCP;HC_Hybrid_Steepest;32;0.6044;OK
hamming/hamming6-2.clq;WMCP;HC_Hybrid_Weight_Steepest;1040;0.1992;OK
hamming/hamming6-4.clq;MCP;HC_Hybrid_Steepest;4;0.0789;OK
hamming/hamming6-4.clq;WMCP;HC_Hybrid_Weight_Steepest;130;0.0158;OK
hamming/hamming8-2.clq;MCP;HC_Hybrid_Steepest;128;34.3053;OK
hamming/hamming8-2.clq;WMCP;HC_Hybrid_Weight_Steepest;10848;7.5186;OK
hamming/hamming8-4.clq;MCP;HC_Hybrid_Steepest;16;2.1246;OK
hamming/hamming8-4.clq;WMCP;HC_Hybrid_Weight_Steepest;1256;0.7834;OK
hamming/hamming10-2.clq;MCP;HC_Hybrid_Steepest;512;2237.36;OK
hamming/hamming10-2.clq;WMCP;HC_Hybrid_Weight_Steepest;38612;2544.61;OK
hamming/hamming10-4.clq;MCP;HC_Hybrid_Steepest;36;62.7959;OK
hamming/hamming10-4.clq;WMCP;HC_Hybrid_Weight_Steepest;4312;16.0342;OK
johnson/johnson8-2-4.clq;MCP;HC_Hybrid_Steepest;4;0.0298;OK
johnson/johnson8-2-4.clq;WMCP;HC_Hybrid_Weight_Steepest;50;0.0103;OK
johnson/johnson8-4-4.clq;MCP;HC_Hybrid_Steepest;14;0.2414;OK
johnson/johnson8-4-4.clq;WMCP;HC_Hybrid_Weight_Steepest;497;0.0757;OK
johnson/johnson16-2-4.clq;MCP;HC_Hybrid_Steepest;8;0.4672;OK
johnson/johnson16-2-4.clq;WMCP;HC_Hybrid_Weight_Steepest;372;0.0691;OK
johnson/johnson32-2-4.clq;MCP;HC_Hybrid_Steepest;16;13.4254;OK
johnson/johnson32-2-4.clq;WMCP;HC_Hybrid_Weight_Steepest;1570;0.9409;OK
keller/keller4.clq;MCP;HC_Hybrid_Steepest;11;1.0242;OK
keller/keller4.clq;WMCP;HC_Hybrid_Weight_Steepest;944;0.2907;OK
keller/keller5.clq;MCP;HC_Hybrid_Steepest;23;34.0328;OK
keller/keller5.clq;WMCP;HC_Hybrid_Weight_Steepest;2650;5.6319;OK
keller/keller6.clq;MCP;HC_Hybrid_Steepest;0;0;SKIP_TOO_LARGE
keller/keller6.clq;WMCP;HC_Hybrid_Weight_Steepest;6349;166.244;OK
MANN_a/MANN_a9.clq;MCP;HC_Hybrid_Steepest;16;0.2331;OK
MANN_a/MANN_a9.clq;WMCP;HC_Hybrid_Weight_Steepest;354;0.0809;OK
MANN_a/MANN_a27.clq;MCP;HC_Hybrid_Steepest;125;100.736;OK
MANN_a/MANN_a27.clq;WMCP;HC_Hybrid_Weight_Steepest;12127;29.035;OK
MANN_a/MANN_a45.clq;MCP;HC_Hybrid_Steepest;342;2050.48;OK
MANN_a/MANN_a45.clq;WMCP;HC_Hybrid_Weight_Steepest;34189;1160.23;OK
MANN_a/MANN_a81.clq;MCP;HC_Hybrid_Steepest;0;0;SKIP_TOO_LARGE
MANN_a/MANN_a81.clq;WMCP;HC_Hybrid_Weight_Steepest;110940;19981.4;TIMEOUT
san/san200_0.7_1.clq;MCP;HC_Hybrid_Steepest;16;2.0756;OK
san/san200_0.7_1.clq;WMCP;HC_Hybrid_Weight_Steepest;2763;0.7411;OK
san/san200_0.7_2.clq;MCP;HC_Hybrid_Steepest;15;2.1847;OK
san/san200_0.7_2.clq;WMCP;HC_Hybrid_Weight_Steepest;2286;0.7607;OK
san/san200_0.9_1.clq;MCP;HC_Hybrid_Steepest;47;8.1149;OK
san/san200_0.9_1.clq;WMCP;HC_Hybrid_Weight_Steepest;6341;3.2924;OK
san/san200_0.9_2.clq;MCP;HC_Hybrid_Steepest;39;7.5391;OK
